points_last_5,minutes_per_game_last_5,goals_last_5,assists_last_5,bonus_points_last_5,yellow_cards_last_5,red_cards_last_5,starts_last_5,transfers_in_last_5,transfers_out_last_5,influence_last_5,creativity_last_5,threat_last_5,player_price_diff_last_5,player_price,xG_per_game_last_5,xA_per_game_last_5,xG_sum_last_5,xA_sum_last_5,home_away_current,fdr_current,actual_gw_points
6,17.4,0,0,0,0,0,1,33566,77444,6.6,13.6,6.0,0.0,5.5,0.0,0.02,0.0,0.12,0,2,1
6,15.0,0,0,0,0,0,1,14011,61737,5.6,13.4,6.0,0.0,5.5,0.0,0.02,0.0,0.12,1,2,1
6,16.2,0,0,0,0,0,1,9868,38380,7.6,13.3,10.0,0.0,5.5,0.0,0.02,0.0,0.12,0,3,1
6,25.0,0,0,0,0,0,1,9609,33724,14.0,29.8,14.0,-0.1,5.4,0.0,0.04,0.0,0.22,1,3,13
17,28.8,2,0,3,0,0,1,9450,27680,99.6,18.1,54.0,-0.1,5.4,0.09,0.02,0.45,0.1,0,2,2
18,46.6,2,0,3,0,0,2,65094,26067,105.0,26.1,69.0,-0.1,5.4,0.19,0.02,0.97,0.11,1,2,6
23,59.6,3,0,3,0,0,3,96881,37460,138.0,30.3,108.0,-0.1,5.4,0.35,0.03,1.77,0.13,0,4,2
24,75.0,3,0,3,0,0,4,197828,106601,136.0,32.5,106.0,-0.1,5.4,0.35,0.03,1.77,0.15,1,2,2
25,84.0,3,0,3,0,0,5,209263,116663,134.8,18.5,123.0,0.0,5.4,0.42,0.03,2.08,0.14,0,4,1
13,68.8,1,0,0,0,0,4,213047,132670,49.0,18.3,79.0,0.0,5.4,0.33,0.03,1.63,0.14,0,3,2
13,68.8,1,0,0,0,0,4,160578,146571,42.8,10.7,79.0,-0.1,5.3,0.28,0.03,1.39,0.13,1,2,2
9,73.6,0,0,0,0,0,4,139781,143121,9.8,8.7,54.0,-0.1,5.3,0.22,0.02,1.1,0.12,0,3,0
7,71.0,0,0,0,0,0,3,44843,89080,9.8,6.5,52.0,-0.2,5.2,0.28,0.02,1.1,0.1,1,3,0
5,64.67,0,0,0,0,0,2,35684,85046,4.6,3.9,31.0,-0.2,5.2,0.26,0.0,0.79,0.01,0,2,0
4,90.0,0,0,0,0,0,2,32214,72957,1.2,2.7,31.0,-0.3,5.1,0.4,0.0,0.79,0.01,1,5,0
2,90.0,0,0,0,0,0,1,28570,61081,0.0,2.3,14.0,-0.2,5.1,0.51,0.01,0.51,0.01,0,4,0
0,0.0,0,0,0,0,0,0,18569,52756,0.0,0.0,0.0,-0.2,5.1,0.0,0.0,0.0,0.0,1,4,0
0,0.0,0,0,0,0,0,0,14088,39888,0.0,0.0,0.0,-0.2,5.0,0.0,0.0,0.0,0.0,0,2,1
1,1.0,0,0,0,0,0,0,12525,34754,0.0,0.0,0.0,-0.2,5.0,0.0,0.0,0.0,0.0,1,2,0
1,1.0,0,0,0,0,0,0,12896,30378,0.0,0.0,0.0,-0.1,5.0,0.0,0.0,0.0,0.0,1,3,0
1,1.0,0,0,0,0,0,0,11287,26121,0.0,0.0,0.0,-0.1,5.0,0.0,0.0,0.0,0.0,0,3,0
1,1.0,0,0,0,0,0,0,9689,23858,0.0,0.0,0.0,-0.1,5.0,0.0,0.0,0.0,0.0,0,4,0
1,1.0,0,0,0,0,0,0,8236,19551,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1,2,0
0,45.0,0,0,0,1,0,0,8051,16955,0.0,4.0,19.0,-0.1,4.9,0.34,0.04,0.34,0.04,0,2,1
1,23.0,0,0,0,1,0,0,6330,14656,2.0,4.0,19.0,-0.1,4.9,0.17,0.02,0.34,0.04,1,2,1
2,22.0,0,0,0,1,0,0,7468,12447,2.0,4.0,23.0,-0.1,4.9,0.2,0.01,0.61,0.04,1,3,0
2,22.0,0,0,0,1,0,0,7279,12397,2.0,4.0,23.0,-0.1,4.9,0.2,0.01,0.61,0.04,0,2,1
3,24.0,0,0,0,1,0,0,6810,12102,6.0,5.5,25.0,-0.1,4.9,0.15,0.01,0.61,0.04,1,3,1
4,21.25,0,0,0,0,0,0,9417,11110,10.2,1.8,23.0,0.0,4.9,0.15,0.0,0.6,0.01,0,2,1
5,75.0,0,0,0,0,0,2,9945,80748,22.6,3.9,87.0,0.0,5.8,0.14,0.0,0.43,0.01,0,2,12
15,75.0,1,1,3,0,0,2,12040,87808,69.4,17.0,67.0,-0.3,5.7,0.1,0.05,0.29,0.14,0,4,2
