points_last_5,minutes_per_game_last_5,goals_last_5,assists_last_5,clean_sheets_last_5,bonus_points_last_5,goals_conceded_last_5,yellow_cards_last_5,red_cards_last_5,starts_last_5,transfers_in_last_5,transfers_out_last_5,influence_last_5,creativity_last_5,threat_last_5,player_price_diff_last_5,player_price,xG_per_game_last_5,xA_per_game_last_5,xG_conceded_per_game_last_5,xG_sum_last_5,xA_sum_last_5,xGoals_Conceeded_sum_last_5,home_away_current,fdr_current,actual_gw_points
3,14.25,0,0,0,0,1,1,0,0,12805,106069,12.2,11.5,4.0,0.0,4.3,0.0,0.0,0.0,0.0,0.02,0.67,0,4,1
4,13.4,0,0,0,0,1,1,0,0,16892,115896,16.8,12.3,4.0,-0.3,4.2,0.0,0.01,0.0,0.0,0.03,0.78,0,3,1
5,11.2,0,0,0,0,1,0,0,0,17801,69659,17.6,12.7,4.0,-0.2,4.2,0.0,0.01,0.0,0.0,0.03,0.66,1,3,1
5,8.4,0,0,0,0,1,0,0,0,15335,52676,13.8,12.4,4.0,-0.2,4.2,0.0,0.01,0.0,0.0,0.03,0.49,1,4,1
5,26.2,0,0,0,0,3,0,0,1,15901,38813,35.6,17.9,4.0,-0.1,4.2,0.0,0.01,0.0,0.0,0.04,1.53,0,2,6
10,39.0,0,0,1,0,2,0,0,2,21630,30715,39.6,8.4,0.0,-0.1,4.2,0.0,0.01,0.0,0.0,0.03,3.14,0,2,2
11,55.0,0,0,1,0,3,0,0,3,31546,24598,53.0,14.4,2.0,0.0,4.2,0.0,0.01,0.0,0.0,0.07,3.7,1,2,6
16,66.6,0,0,2,0,3,0,0,4,40812,24720,60.2,30.0,20.0,0.0,4.2,0.02,0.02,0.0,0.08,0.11,4.05,0,4,0
15,83.0,0,0,2,0,3,0,0,4,42607,28127,60.2,29.9,20.0,0.0,4.2,0.02,0.03,0.0,0.08,0.11,4.05,0,2,0
14,80.67,0,0,2,0,1,0,0,3,39598,33694,38.4,24.4,20.0,0.0,4.2,0.03,0.03,0.0,0.08,0.1,2.92,1,2,0
8,76.0,0,0,1,0,1,0,0,2,37694,51891,26.0,23.1,20.0,0.0,4.2,0.04,0.04,0.0,0.08,0.09,1.06,0,3,0
6,46.0,0,0,1,0,2,0,0,1,23951,51313,10.2,16.3,18.0,0.0,4.2,0.04,0.02,0.0,0.08,0.04,1.17,1,3,1
1,22.0,0,0,0,0,2,0,0,0,13595,48463,2.8,1.4,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.78,0,4,1
2,16.0,0,0,0,0,2,0,0,0,9162,40666,4.8,1.5,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.85,1,3,4
6,23.25,0,1,0,0,3,0,0,0,8903,30757,38.4,28.2,6.0,0.0,4.2,0.0,0.02,0.0,0.0,0.06,1.07,0,2,1
7,19.6,0,1,0,0,3,0,0,0,4582,10244,41.8,28.5,6.0,0.0,4.2,0.0,0.01,0.0,0.0,0.06,1.07,1,3,0
7,17.0,0,1,0,0,1,0,0,0,5169,8794,39.6,28.5,6.0,0.0,4.2,0.0,0.02,0.0,0.0,0.06,0.29,1,5,0
6,34.0,0,1,0,0,4,1,0,1,5486,9130,42.6,34.9,12.0,0.0,4.2,0.04,0.02,0.0,0.14,0.07,2.0,0,2,1
6,35.75,0,1,0,0,4,1,0,1,5214,8590,41.6,36.1,14.0,0.0,4.2,0.04,0.02,0.0,0.14,0.07,2.04,0,3,1
3,24.75,0,0,0,0,3,1,0,1,5782,8659,8.0,9.4,8.0,0.0,4.2,0.04,0.0,0.0,0.14,0.01,1.82,1,2,0
2,31.33,0,0,0,0,3,1,0,1,4667,7887,4.6,9.1,8.0,0.0,4.2,0.05,0.0,0.0,0.14,0.01,1.82,1,2,1
3,34.75,0,0,0,0,4,1,0,2,4167,7735,10.4,15.0,25.0,0.0,4.2,0.04,0.01,0.0,0.16,0.03,2.88,0,2,1
4,16.75,0,0,0,0,1,0,0,1,4151,6998,13.8,7.3,19.0,0.0,4.2,0.0,0.0,0.0,0.02,0.02,1.28,1,2,0
3,18.67,0,0,0,0,1,0,0,1,3546,6913,12.8,6.0,17.0,0.0,4.2,0.01,0.01,0.0,0.02,0.02,1.17,1,2,0
2,27.5,0,0,0,0,1,0,0,1,2534,7274,12.8,6.0,17.0,0.0,4.2,0.01,0.01,0.0,0.02,0.02,1.17,0,4,0
2,27.5,0,0,0,0,1,0,0,1,1490,6736,12.8,6.0,17.0,0.0,4.2,0.01,0.01,0.0,0.02,0.02,1.17,0,3,0
1,10.0,0,0,0,0,0,0,0,0,1156,6008,7.0,0.1,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.11,1,2,0
0,0.0,0,0,0,0,0,0,0,0,333,5669,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0
0,0.0,0,0,0,0,0,0,0,0,99,4657,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0
0,0.0,0,0,0,0,0,0,0,0,64,3024,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
0,0.0,0,0,0,0,0,0,0,0,70,2394,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0
0,0.0,0,0,0,0,0,0,0,0,68,1839,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
0,0.0,0,0,0,0,0,0,0,0,73,1426,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
26,90.0,1,0,2,3,4,0,0,5,372156,251898,120.8,17.8,116.0,0.0,5.0,0.24,0.01,6.140000000000001,1.21,0.06,3.23,0,4,1
20,90.0,1,0,1,2,7,0,0,5,533019,326803,110.6,18.2,124.0,0.1,5.1,0.25,0.02,6.140000000000001,1.23,0.08,3.57,0,3,6
25,90.0,1,0,2,2,5,0,0,5,531985,310686,113.6,17.5,119.0,0.1,5.1,0.24,0.02,6.140000000000001,1.2,0.08,3.64,1,3,2
20,90.0,1,0,1,1,6,0,0,5,506476,288582,104.4,19.4,117.0,0.1,5.1,0.22,0.02,6.140000000000001,1.1,0.1,4.93,1,4,1
12,90.0,0,0,1,0,7,0,0,5,503866,306535,80.8,7.6,82.0,0.1,5.1,0.07,0.02,6.140000000000001,0.35,0.09,5.23,0,2,8
18,90.0,0,0,2,3,6,1,0,5,336602,330180,105.6,6.6,30.0,0.1,5.1,0.03,0.02,6.140000000000001,0.14,0.08,6.64,0,2,2
19,90.0,0,0,2,3,4,1,0,5,248558,279191,123.6,7.8,24.0,0.0,5.1,0.04,0.01,6.140000000000001,0.18,0.07,5.76,1,2,6
19,90.0,0,0,2,3,4,1,0,5,253662,269497,119.2,9.0,25.0,0.0,5.1,0.03,0.01,6.140000000000001,0.16,0.07,5.66,0,4,15
32,90.0,1,0,3,6,3,1,0,5,233655,233241,156.8,5.9,62.0,0.0,5.1,0.19,0.01,6.140000000000001,0.94,0.06,4.38,0,2,5
36,90.0,1,0,4,6,1,2,0,5,432930,168843,145.4,7.3,68.0,0.1,5.2,0.21,0.01,6.140000000000001,1.05,0.06,3.93,1,2,2
30,90.0,1,0,3,3,2,1,0,5,913517,368886,122.4,11.7,51.0,0.1,5.2,0.19,0.02,6.140000000000001,0.95,0.12,3.14,0,3,0
28,90.0,1,0,3,3,3,2,0,5,892623,394635,100.2,10.3,68.0,0.1,5.2,0.26,0.02,6.140000000000001,1.32,0.1,3.62,1,3,6
28,90.0,1,0,3,3,3,2,0,5,865927,468499,102.0,10.5,73.0,0.1,5.2,0.28,0.02,6.140000000000001,1.41,0.1,4.27,0,4,5
18,90.0,0,0,3,0,3,3,0,5,880962,510498,70.2,11.1,36.0,0.1,5.2,0.13,0.02,6.140000000000001,0.63,0.1,5.52,1,3,1
14,90.0,0,0,2,0,5,2,0,5,680759,540283,80.8,10.5,46.0,0.0,5.2,0.12,0.02,6.140000000000001,0.62,0.1,5.17,0,2,2
14,90.0,0,0,2,0,5,2,0,5,227584,362531,84.2,8.3,46.0,0.0,5.2,0.12,0.01,6.140000000000001,0.62,0.05,5.76,1,3,2
16,90.0,0,0,2,0,4,1,0,5,252415,357657,93.6,11.8,34.0,0.0,5.2,0.04,0.02,6.140000000000001,0.22,0.09,6.98,1,5,1
11,90.0,0,0,1,0,7,1,0,5,303152,298595,95.8,20.3,29.0,0.0,5.2,0.03,0.02,6.140000000000001,0.13,0.08,7.61,0,2,1
7,90.0,0,0,0,0,9,0,0,5,290456,260821,87.0,21.7,37.0,0.0,5.2,0.09,0.02,6.140000000000001,0.43,0.09,6.58,0,3,9
15,90.0,0,0,1,3,7,0,0,5,299359,282322,81.8,24.1,23.0,0.0,5.2,0.07,0.02,6.140000000000001,0.33,0.09,6.27,1,2,6
19,90.0,0,0,2,3,6,0,0,5,273316,266769,76.6,24.2,23.0,0.0,5.2,0.07,0.02,6.140000000000001,0.33,0.09,5.97,1,2,1
18,90.0,0,0,2,3,7,0,0,5,319108,284095,70.6,28.1,47.0,0.0,5.2,0.1,0.02,6.140000000000001,0.49,0.1,4.92,0,2,14
31,90.0,1,0,3,5,4,0,0,5,264024,295768,103.0,17.8,78.0,0.0,5.2,0.16,0.02,6.140000000000001,0.79,0.09,4.05,1,2,2
32,89.0,1,0,3,5,3,0,0,5,379066,274757,110.6,28.3,70.0,0.0,5.2,0.1,0.02,6.140000000000001,0.49,0.09,3.96,1,2,2
25,89.0,1,0,2,2,4,0,0,5,469732,303679,115.6,28.1,80.0,0.0,5.2,0.17,0.02,6.140000000000001,0.84,0.1,4.72,0,4,1
20,89.0,1,0,1,2,6,0,0,5,519691,281055,136.8,25.9,97.0,0.0,5.2,0.19,0.02,6.140000000000001,0.95,0.09,7.32,0,3,1
20,89.0,1,0,1,2,6,0,0,5,478470,254805,150.4,19.0,70.0,0.1,5.3,0.18,0.01,6.140000000000001,0.9,0.06,7.75,1,2,1
7,89.0,0,0,0,0,9,0,0,5,535044,237958,117.6,33.1,37.0,0.1,5.3,0.12,0.02,6.140000000000001,0.6,0.09,8.33,0,5,0
5,90.0,0,0,0,0,12,0,0,5,405151,315617,105.8,20.8,46.0,0.1,5.3,0.14,0.02,6.140000000000001,0.7,0.12,9.97,1,3,2
5,88.8,0,0,0,0,12,0,0,5,278109,361059,92.4,18.6,44.0,0.1,5.3,0.14,0.02,6.140000000000001,0.69,0.11,9.64,0,4,7
11,88.8,0,0,1,1,10,0,0,5,185727,489413,65.4,18.4,27.0,0.0,5.2,0.12,0.02,6.140000000000001,0.58,0.11,6.98,1,3,1
11,88.8,0,0,1,1,11,0,0,5,129595,483893,41.0,17.6,32.0,-0.1,5.2,0.14,0.02,6.140000000000001,0.7,0.09,7.01,0,2,1
11,88.8,0,0,1,1,9,1,0,5,76992,482898,45.2,19.1,32.0,-0.1,5.2,0.14,0.02,6.140000000000001,0.7,0.11,6.14,1,2,6
