season,gameweek,team,opponent_team,is_home,lagged_GC_1,lagged_GC_2,lagged_GC_3,lagged_GC_4,lagged_GC_5,lagged_GS_1,lagged_GS_2,lagged_GS_3,lagged_GS_4,lagged_GS_5,days_rest,days_till_next,opponent_lagged_GC_1,opponent_lagged_GC_2,opponent_lagged_GC_3,opponent_lagged_GC_4,opponent_lagged_GC_5,opponent_lagged_GS_1,opponent_lagged_GS_2,opponent_lagged_GS_3,opponent_lagged_GS_4,opponent_lagged_GS_5,opponent_days_rest,opponent_days_till_next,goals_conceded
2223,5,15,12,0,1.0,3.0,0.0,0.0,,1.0,3.0,0.0,2.0,,3.0,2.0,0.0,2.0,1.0,2.0,,9.0,1.0,1.0,2.0,,4.0,2.0,2
2223,5,10,14,1,2.0,2.0,4.0,2.0,,1.0,1.0,2.0,2.0,,5.0,2.0,0.0,1.0,4.0,2.0,,1.0,2.0,0.0,1.0,,5.0,2.0,1
2223,5,14,10,0,0.0,1.0,4.0,2.0,,1.0,2.0,0.0,1.0,,5.0,2.0,2.0,2.0,4.0,2.0,,1.0,1.0,2.0,2.0,,5.0,2.0,0
2223,6,8,12,1,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,15.0,1.0,0.0,2.0,1.0,2.0,2.0,9.0,1.0,1.0,2.0,2.0,28.0,0
2223,6,12,8,0,1.0,0.0,2.0,1.0,2.0,2.0,9.0,1.0,1.0,2.0,2.0,28.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,15.0,0
2223,6,4,11,1,1.0,1.0,3.0,0.0,2.0,1.0,1.0,2.0,4.0,2.0,3.0,14.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,2.0,3.0,29.0,2
2223,6,11,4,0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,2.0,3.0,29.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,2.0,4.0,2.0,3.0,14.0,5
2223,6,6,19,1,2.0,1.0,3.0,2.0,0.0,1.0,2.0,0.0,2.0,1.0,3.0,28.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,14.0,1
2223,6,19,6,0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,14.0,2.0,1.0,3.0,2.0,0.0,1.0,2.0,0.0,2.0,1.0,3.0,28.0,2
2223,6,15,7,1,2.0,1.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,2.0,14.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,3.0,28.0,0
2223,6,7,15,0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,3.0,28.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,2.0,14.0,0
