points_last_5,minutes_last_5,goals_last_5,assists_last_5,clean_sheets_last_5,bonus_points_last_5,ict_index,player_position,player_price,xG_per_90,xA_per_90,home_away_current_plus_1,home_away_current_plus_2,home_away_current_plus_3,home_away_current_plus_4,home_away_current_plus_5,home_away_current_plus_6,home_away_current_plus_7,fdr_current_plus_1,fdr_current_plus_2,fdr_current_plus_3,fdr_current_plus_4,fdr_current_plus_5,fdr_current_plus_6,fdr_current_plus_7,total_points_plus_7
23,443,1,1,2,3,9.3,2,7.0,0.4,0.09,0,1,1,0,0,1,0,2,2,2,4,3,2,5,36
23,443,1,1,2,3,14.3,2,7.0,0.56,0.38,1,1,0,0,1,0,1,2,2,4,3,2,5,3,44
28,443,2,1,3,3,9.5,2,6.9,0.45,0.18,1,0,0,1,0,1,0,2,4,3,2,5,3,4,52
22,443,2,0,3,0,5.4,2,6.9,0.25,0.3,0,0,1,0,1,0,1,4,3,2,5,3,4,3,48
25,444,2,1,2,1,6.3,2,6.8,0.0,0.28,0,1,0,1,0,1,0,3,2,5,3,4,3,2,48
19,433,1,1,1,1,1.5,2,6.7,0.05,0.01,1,0,1,0,1,0,1,2,5,3,4,3,2,2,41
7,172,0,0,0,0,3.5,1,4.9,0.2,0.04,0,1,1,0,0,1,0,3,3,4,2,2,2,4,12
6,165,0,0,0,0,0.0,1,4.9,0.0,0.0,1,1,0,0,1,0,0,3,4,2,2,2,4,2,6
11,242,0,0,1,0,3.1,1,4.8,0.02,0.13,1,0,0,1,0,0,1,4,2,2,2,4,2,2,7
11,257,0,0,1,0,1.6,1,4.8,0.02,0.03,0,0,1,0,0,1,0,2,2,2,4,2,2,3,6
10,205,0,0,1,0,0.1,1,4.8,0.0,0.0,0,1,0,0,1,0,1,2,2,4,2,2,3,3,5
9,129,0,0,1,0,0.3,1,4.8,0.0,0.0,1,0,0,1,0,1,0,2,4,2,2,3,3,4,5
10,147,0,0,1,0,0.5,1,4.8,0.0,0.0,0,0,1,0,1,0,1,4,2,2,3,3,4,3,4
5,71,0,0,0,0,0.4,1,4.8,0.0,0.01,0,1,0,1,0,1,0,2,2,3,3,4,3,2,3
5,66,0,0,0,0,0.4,1,4.8,0.0,0.0,1,0,1,0,1,0,1,2,3,3,4,3,2,3,3
4,58,0,0,0,0,0.0,1,4.7,0.0,0.0,0,1,0,1,0,1,1,3,3,4,3,2,3,5,1
5,116,0,0,0,0,2.1,1,4.7,0.0,0.04,1,0,1,0,1,1,0,3,4,3,2,3,5,2,2
4,128,0,0,0,0,0.8,1,4.7,0.0,0.0,0,1,0,1,1,0,0,4,3,2,3,5,2,3,2
3,114,0,0,0,0,0.0,1,4.7,0.0,0.0,1,0,1,1,0,0,1,3,2,3,5,2,3,2,2
3,113,0,0,0,0,0.5,1,4.7,0.0,0.0,0,1,1,0,0,1,1,2,3,5,2,3,2,2,2
3,113,0,0,0,0,0.0,1,4.7,0.0,0.0,1,1,0,0,1,1,0,3,5,2,3,2,2,2,3
1,41,0,0,0,0,0.0,1,4.6,0.0,0.0,1,0,0,1,1,0,1,5,2,3,2,2,2,2,7
1,11,0,0,0,0,0.0,1,4.6,0.0,0.0,0,0,1,1,0,1,1,2,3,2,2,2,2,2,8
1,11,0,0,0,0,0.0,1,4.6,0.0,0.0,0,1,1,0,1,1,0,3,2,2,2,2,2,4,8
1,1,0,0,0,0,0.2,1,4.6,0.0,0.0,1,1,0,1,1,0,0,2,2,2,2,2,4,3,9
1,1,0,0,0,0,0.0,1,4.6,0.0,0.0,1,0,1,1,0,0,1,2,2,2,2,4,3,2,8
2,9,0,0,0,0,1.0,1,4.6,0.0,0.02,0,1,1,0,0,1,0,2,2,2,4,3,2,5,8
2,9,0,0,0,0,0.0,1,4.6,0.0,0.0,1,1,0,0,1,0,1,2,2,4,3,2,5,3,8
3,27,0,0,0,0,0.6,1,4.6,0.0,0.0,1,0,0,1,0,1,0,2,4,3,2,5,3,4,5
6,51,0,1,0,0,3.1,1,4.6,0.0,0.07,0,0,1,0,1,0,1,4,3,2,5,3,4,3,5
7,56,0,1,0,0,0.1,1,4.6,0.0,0.0,0,1,0,1,0,1,0,3,2,5,3,4,3,2,5
7,50,0,1,0,0,0.6,1,4.6,0.04,0.0,1,0,1,0,1,0,1,2,5,3,4,3,2,2,5
22,392,0,0,3,3,2.1,1,4.5,0.0,0.28,0,1,1,0,0,1,0,3,3,4,2,2,2,4,35
18,381,0,0,2,3,1.5,1,4.5,0.0,0.1,1,1,0,0,1,0,0,3,4,2,2,2,4,2,37
23,392,0,0,3,3,4.6,1,4.5,0.0,0.06,1,0,0,1,0,0,1,4,2,2,2,4,2,2,34
21,406,0,1,2,2,6.9,1,4.5,0.02,0.37,0,0,1,0,0,1,0,2,2,2,4,2,2,3,34
21,406,0,1,2,2,1.6,1,4.5,0.0,0.01,0,1,0,0,1,0,1,2,2,4,2,2,3,3,35
