season,gameweek,team,opponent_team,is_home,lagged_GC_1,lagged_GC_2,lagged_GC_3,lagged_GC_4,lagged_GC_5,lagged_GS_1,lagged_GS_2,lagged_GS_3,lagged_GS_4,lagged_GS_5,days_rest,days_till_next,opponent_lagged_GC_1,opponent_lagged_GC_2,opponent_lagged_GC_3,opponent_lagged_GC_4,opponent_lagged_GC_5,opponent_lagged_GS_1,opponent_lagged_GS_2,opponent_lagged_GS_3,opponent_lagged_GS_4,opponent_lagged_GS_5,opponent_days_rest,opponent_days_till_next,goals_conceded
2223,5.0,3,20,1,9.0,3.0,4.0,0.0,,0.0,0.0,0.0,2.0,,4.0,2.0,1.0,1.0,0.0,2.0,,1.0,0.0,0.0,1.0,,3.0,2.0,0.0
2223,5.0,20,3,0,1.0,1.0,0.0,2.0,,1.0,0.0,0.0,1.0,,3.0,2.0,9.0,3.0,4.0,0.0,,0.0,0.0,0.0,2.0,,4.0,2.0,0.0
2223,5.0,13,16,1,2.0,3.0,0.0,0.0,,4.0,3.0,4.0,2.0,,4.0,2.0,2.0,1.0,0.0,2.0,,0.0,1.0,1.0,0.0,,3.0,2.0,0.0
2223,5.0,16,13,0,2.0,1.0,0.0,2.0,,0.0,1.0,1.0,0.0,,3.0,2.0,2.0,3.0,0.0,0.0,,4.0,3.0,4.0,2.0,,4.0,2.0,6.0
2223,5.0,19,18,1,0.0,2.0,1.0,2.0,,1.0,0.0,0.0,0.0,,3.0,2.0,0.0,0.0,2.0,1.0,,2.0,1.0,2.0,4.0,,3.0,2.0,1.0
2223,5.0,18,19,0,0.0,0.0,2.0,1.0,,2.0,1.0,2.0,4.0,,3.0,2.0,0.0,2.0,1.0,2.0,,1.0,0.0,0.0,0.0,,3.0,2.0,1.0
2223,5.0,12,15,1,0.0,2.0,1.0,2.0,,9.0,1.0,1.0,2.0,,4.0,2.0,1.0,3.0,0.0,0.0,,1.0,3.0,0.0,2.0,,3.0,2.0,1.0
2223,5.0,15,12,0,1.0,3.0,0.0,0.0,,1.0,3.0,0.0,2.0,,3.0,2.0,0.0,2.0,1.0,2.0,,9.0,1.0,1.0,2.0,,4.0,2.0,2.0
2223,5.0,10,14,1,2.0,2.0,4.0,2.0,,1.0,1.0,2.0,2.0,,5.0,2.0,0.0,1.0,4.0,2.0,,1.0,2.0,0.0,1.0,,5.0,2.0,1.0
2223,5.0,14,10,0,0.0,1.0,4.0,2.0,,1.0,2.0,0.0,1.0,,5.0,2.0,2.0,2.0,4.0,2.0,,1.0,1.0,2.0,2.0,,5.0,2.0,0.0
2223,6.0,8,12,1,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,15.0,1.0,0.0,2.0,1.0,2.0,2.0,9.0,1.0,1.0,2.0,2.0,28.0,0.0
2223,6.0,12,8,0,1.0,0.0,2.0,1.0,2.0,2.0,9.0,1.0,1.0,2.0,2.0,28.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,15.0,0.0
2223,6.0,4,11,1,1.0,1.0,3.0,0.0,2.0,1.0,1.0,2.0,4.0,2.0,3.0,14.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,2.0,3.0,29.0,2.0
2223,6.0,11,4,0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,2.0,3.0,29.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,2.0,4.0,2.0,3.0,14.0,5.0
2223,6.0,6,19,1,2.0,1.0,3.0,2.0,0.0,1.0,2.0,0.0,2.0,1.0,3.0,28.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,14.0,1.0
2223,6.0,19,6,0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,14.0,2.0,1.0,3.0,2.0,0.0,1.0,2.0,0.0,2.0,1.0,3.0,28.0,2.0
2223,6.0,15,7,1,2.0,1.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,2.0,14.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,3.0,28.0,0.0
2223,6.0,7,15,0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,3.0,28.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,2.0,14.0,0.0
2223,6.0,16,3,1,6.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,13.0,0.0,9.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,14.0,3.0
2223,6.0,3,16,0,0.0,9.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,14.0,6.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,13.0,2.0
2223,6.0,18,9,1,1.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,14.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,3.0,0.0,2.0,3.0,13.0,1.0
2223,6.0,9,18,0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,3.0,0.0,2.0,3.0,13.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,14.0,2.0
2223,6.0,20,17,1,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,13.0,1.0,1.0,1.0,2.0,4.0,2.0,0.0,2.0,2.0,1.0,3.0,13.0,0.0
2223,6.0,17,20,0,1.0,1.0,1.0,2.0,4.0,2.0,0.0,2.0,2.0,1.0,3.0,13.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,13.0,1.0
2223,6.0,2,13,1,2.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,13.0,0.0,2.0,3.0,0.0,0.0,6.0,4.0,3.0,4.0,2.0,2.0,13.0,1.0
2223,6.0,13,2,0,0.0,2.0,3.0,0.0,0.0,6.0,4.0,3.0,4.0,2.0,2.0,13.0,2.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,13.0,1.0
2223,6.0,5,10,1,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,4.0,27.0,1.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,13.0,2.0
2223,6.0,10,5,0,1.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,13.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,4.0,27.0,5.0
2223,6.0,14,1,1,0.0,0.0,1.0,4.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,27.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,3.0,4.0,2.0,3.0,13.0,1.0
2223,6.0,1,14,0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,3.0,4.0,2.0,3.0,13.0,0.0,0.0,1.0,4.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,27.0,3.0
2223,8.0,2,17,1,1.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,13.0,15.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,13.0,14.0,0.0
2223,8.0,17,2,0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,13.0,14.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,13.0,15.0,1.0
2223,8.0,16,9,1,3.0,6.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,13.0,17.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,3.0,0.0,13.0,14.0,3.0
2223,8.0,9,16,0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,3.0,0.0,13.0,14.0,3.0,6.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,13.0,17.0,2.0
2223,8.0,20,13,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,13.0,14.0,1.0,0.0,2.0,3.0,0.0,1.0,6.0,4.0,3.0,4.0,13.0,15.0,3.0
2223,8.0,13,20,0,1.0,0.0,2.0,3.0,0.0,1.0,6.0,4.0,3.0,4.0,13.0,15.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,13.0,14.0,0.0
2223,8.0,15,3,1,0.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,14.0,14.0,2.0,0.0,9.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,14.0,14.0,1.0
2223,8.0,3,15,0,2.0,0.0,9.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,14.0,14.0,1.0
2223,8.0,18,10,1,1.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,14.0,13.0,5.0,1.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,13.0,16.0,2.0
2223,8.0,10,18,0,5.0,1.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,13.0,16.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,14.0,13.0,6.0
2223,8.0,4,1,1,2.0,1.0,1.0,3.0,0.0,5.0,1.0,1.0,2.0,4.0,14.0,13.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,3.0,4.0,13.0,13.0,3.0
2223,8.0,1,4,0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,3.0,4.0,13.0,13.0,2.0,1.0,1.0,3.0,0.0,5.0,1.0,1.0,2.0,4.0,14.0,13.0,0.0
2223,8.0,8,19,1,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,15.0,13.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,14.0,13.0,0.0
2223,8.0,19,8,0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,14.0,13.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,15.0,13.0,1.0
